"Forecast_Period","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95","Key1"
"2024 Q2",171243.241216119,164934.128069879,177552.35436236,161594.285314946,180892.197117293,"2024-11-05_exports_goods_services_season"
"2024 Q2",205939.134984615,201922.744143265,209955.525825964,199796.595262823,212081.674706406,"2024-11-05_gdp_total_season"
"2024 Q2",54649.9648827935,53585.5480857018,55714.3816798852,53022.0798698697,56277.8498957173,"2024-11-05_gov_consumption_season"
"2024 Q1",6445.07396446423,6040.66888734001,6849.47904158845,5826.58977105467,7063.5581578738,"2024-11-05_gov_invest_season"
"2024 Q1",34902.0969945841,28668.4249523432,41135.769036825,25368.5183055093,44435.6756836588,"2024-11-05_gpd_invest_business_households_season"
"2024 Q2",88231.6971338585,86052.2460566642,90411.1482110528,84898.5143480745,91564.8799196426,"2024-11-05_household_cons_season"
"2024 Q2",153096.511079335,144879.836570318,161313.185588353,140530.191827469,165662.830331202,"2024-11-05_imports_goods_services_season"
"2024 Q2",45262.4578630594,38127.7481737382,52397.1675523805,34350.8610087604,56174.0547173583,"2024-11-05_investments_season"
